Acquired on 3/23/2026 at 20:45:11
Calibrated on 2/21/2023 at 03:14:48
Device Descriptor:  [none]
Scan Range (nm):  1545.445  --  1588.034
Measurement Type:  Reflection
Group Index:  1.500
Gain:  24 dB
Domain:  Time
Spatial Resolution (mm):  0.100209
Frequency domain window was not applied to measurement data.
Gage length:  1.000766 cm
Sensor spacing:  0.099884 cm
Number of Data Points (in this file):  41648
NOTE: Data stored in this file is not decimated.

Length (m)	Length (m)	Amplitude (dB/mm)	Spectral Shift (GHz)	Spectral Shift Quality	
2.59632611E+000	2.81880927E+000	-1.13402290E+002	-1.23039818E+001	5.42203844E-001	
2.59634519E+000	2.81980801E+000	-1.11461380E+002	-1.15383739E+001	5.18629134E-001	
2.59636450E+000	2.82080698E+000	-1.11391647E+002	-1.03901186E+001	4.58266973E-001	
2.59638381E+000	2.82180572E+000	-1.12151810E+002	-1.12462711E+001	3.35372835E-001	
2.59640288E+000	2.82280469E+000	-1.08181992E+002	-1.11355705E+001	2.37365544E-001	
2.59642220E+000	2.82380342E+000	-1.06718750E+002	-1.25244541E+001	1.41160741E-001	
2.59644127E+000	2.82480240E+000	-1.07053589E+002	-1.14582910E+003	1.18538260E-001	
2.59646058E+000	2.82580113E+000	-1.06989700E+002	-2.41577832E+003	1.25537977E-001	
2.59647965E+000	2.82680011E+000	-1.05906639E+002	-2.42588501E+003	1.33442536E-001	
2.59649897E+000	2.82779884E+000	-1.06109314E+002	-1.74135999E+003	1.35223106E-001	
2.59651828E+000	2.82879758E+000	-1.07485802E+002	1.28358444E+002	1.40779749E-001	
2.59653735E+000	2.82979655E+000	-1.06381073E+002	-1.74137231E+003	1.43897980E-001	
2.59655666E+000	2.83079529E+000	-1.05947502E+002	-1.74515381E+003	1.44647613E-001	
2.59657574E+000	2.83179426E+000	-1.06128456E+002	-1.75145825E+003	1.57851055E-001	
2.59659505E+000	2.83279300E+000	-1.06653275E+002	-1.75271558E+003	1.55312896E-001	
2.59661412E+000	2.83379197E+000	-1.06613457E+002	-7.15046204E+002	1.33845314E-001	
2.59663343E+000	2.83479071E+000	-1.07441780E+002	-2.78110809E+002	1.33705795E-001	
2.59665275E+000	2.83578968E+000	-1.07943565E+002	2.56443390E+002	1.70765892E-001	
2.59667182E+000	2.83678842E+000	-1.08137657E+002	1.25772926E+002	1.35628089E-001	
2.59669113E+000	2.83778739E+000	-1.08913712E+002	8.60587769E+002	1.15650676E-001	
2.59671021E+000	2.83878613E+000	-1.06593552E+002	1.02861267E+003	1.28650412E-001	
2.59672952E+000	2.83978486E+000	-1.05940674E+002	-2.88589592E+001	1.58259004E-001	
2.59674859E+000	2.84078383E+000	-1.05993416E+002	-2.94186687E+001	1.81151584E-001	
2.59676790E+000	2.84178257E+000	-1.06717033E+002	-3.03892422E+001	1.50024161E-001	
2.59678721E+000	2.84278154E+000	-1.06308479E+002	-3.00822563E+001	1.66748136E-001	
2.59680629E+000	2.84378028E+000	-1.07367767E+002	-3.05607224E+001	1.73769444E-001	
2.59682560E+000	2.84477925E+000	-1.08564072E+002	-3.03942032E+001	1.93350494E-001	
2.59684467E+000	2.84577799E+000	-1.08432449E+002	-3.09771690E+001	2.90353030E-001	
2.59686399E+000	2.84677696E+000	-1.07725586E+002	-3.04810276E+001	3.12828004E-001	
2.59688306E+000	2.84777570E+000	-1.08687424E+002	-3.05259933E+001	3.83649021E-001	
2.59690237E+000	2.84877467E+000	-1.07399376E+002	-3.06525097E+001	4.46171820E-001	
2.59692144E+000	2.84977341E+000	-1.07420563E+002	-3.15331593E+001	3.32994640E-001	
2.59694076E+000	2.85077238E+000	-1.07102287E+002	-3.15613766E+001	2.93093860E-001	
2.59696007E+000	2.85177112E+000	-1.07363884E+002	1.87943970E+003	2.01129884E-001	
2.59697914E+000	2.85276985E+000	-1.07634247E+002	1.88078418E+003	2.18490899E-001	
